c_bin,ce_bin,c_mean,ce_mean,delta_c_mean,delta_ce_mean,delta_ei_mean,ei_reduction_mean,n,ei_regime
"(0.41, 0.47]","(-0.214, -0.173]",0.43387208304294134,-0.18848899362137983,0.0031852794405184534,0.03890746697325733,-7.52992739802895e-06,7.52992739802895e-06,30,Q3
"(0.41, 0.47]","(-0.173, -0.132]",0.4395904223068962,-0.15087703314960352,0.012243135485580836,0.06305707928098885,-4.939757601593327e-06,4.939757601593327e-06,136,Q3
"(0.41, 0.47]","(-0.132, -0.0882]",0.4411095740886907,-0.10705009005007453,0.0021009882986503556,0.029825401780224452,-5.901710733839521e-06,5.901710733839521e-06,188,Q3
"(0.41, 0.47]","(-0.0882, -0.0431]",0.4394314080786021,-0.06484904114721242,0.010426965006801028,0.011890019591073072,-6.96855236069673e-06,6.96855236069673e-06,373,Q3
"(0.41, 0.47]","(-0.0431, 0.0192]",0.42028226407730956,0.0003124323377362734,0.0009743681546430594,-0.01531040542400162,-1.0348486882900001e-05,1.0348486882900001e-05,1323,Q3
"(0.41, 0.47]","(0.0192, 1.0]",0.4328915102351263,0.08835782738556401,-0.00512638329477775,-0.06338278473882075,3.706507643936285e-06,-3.706507643936285e-06,1940,Q3
"(0.47, 0.901]","(-0.173, -0.132]",0.5297031174115818,-0.14910488932835914,-0.01856268285786426,0.04676335383954432,-7.2275162315550666e-06,7.2275162315550666e-06,109,Q3
"(0.47, 0.901]","(-0.132, -0.0882]",0.540542705600141,-0.10791957580914811,-0.022669906467213063,0.02271794190848738,-1.1136205647598068e-05,1.1136205647598068e-05,312,Q3
"(0.47, 0.901]","(-0.0882, -0.0431]",0.5385253259736087,-0.06492851284639496,-0.02664969073870291,0.010079385791479862,-6.24289776767179e-06,6.24289776767179e-06,637,Q3
"(0.47, 0.901]","(-0.0431, 0.0192]",0.5325975844651745,-0.012940320319342372,-0.011150107472908595,0.007105148536854367,-8.718455423763748e-06,8.718455423763748e-06,869,Q3
"(0.47, 0.901]","(0.0192, 1.0]",0.5477813811159851,0.27292257437747236,-0.022899336654372757,-0.07563012918286437,-4.05844025177661e-06,4.05844025177661e-06,2054,Q3
"(0.296, 0.351]","(-0.523, -0.275]",0.33940999607456085,-0.328759600663736,0.0037044293019740464,0.016910328257927584,-0.0024730994152275623,0.0024730994152275623,3987,Q4 high EI
"(0.351, 0.363]","(-0.275, -0.22]",0.3571183311934792,-0.24798830993514653,0.0034877582732832264,0.01588437093832362,-9.72856856180107e-05,9.72856856180107e-05,3981,Q4 high EI
"(0.363, 0.373]","(-0.22, -0.177]",0.3686541054691942,-0.195206171402114,0.0035348055600853572,0.015506614703927467,-0.0038369313921737765,0.0038369313921737765,3939,Q4 high EI
"(0.363, 0.373]","(-0.177, -0.142]",0.37262076763398605,-0.17695059109781666,0.006115338516187376,0.02790146004695672,-0.00051563722056291,0.00051563722056291,52,Q4 high EI
"(0.373, 0.381]","(-0.177, -0.142]",0.37633655242819436,-0.1601338518826419,0.0036441680141767155,0.012839837673974164,-0.0001664059819925616,0.0001664059819925616,3653,Q4 high EI
"(0.373, 0.381]","(-0.142, -0.0921]",0.3808913979896346,-0.13932545926114287,0.004381925194503444,0.01696217256592404,-6.923320579873116e-05,6.923320579873116e-05,339,Q4 high EI
"(0.381, 0.394]","(-0.177, -0.142]",0.3904172191454297,-0.16194212424481944,0.0025945107992606854,0.01202743054351105,-0.0004459861571418646,0.0004459861571418646,25,Q4 high EI
"(0.381, 0.394]","(-0.142, -0.0921]",0.38609211868065274,-0.115849212725291,0.0063079491785686575,0.012939436648995295,-0.0005029917004917572,0.0005029917004917572,3154,Q4 high EI
"(0.381, 0.394]","(-0.0921, -0.0307]",0.3927123700805671,-0.08534764177053983,0.0057041292252877724,0.0056652979968827965,-9.323710807668554e-05,9.323710807668554e-05,797,Q4 high EI
"(0.394, 0.415]","(-0.177, -0.142]",0.40401182863722096,-0.15573069490397884,0.004448461288051294,0.010522932713938189,-0.00011416485782690687,0.00011416485782690687,42,Q4 high EI
"(0.394, 0.415]","(-0.142, -0.0921]",0.40393827608724137,-0.11880270637163313,0.0021812905971127262,0.0044463607301244625,-3.835937408345973e-05,3.835937408345973e-05,102,Q4 high EI
